
========== OUTPUT ==========
Cloudlet ID    Cloudlet Length    Priority    STATUS    Data center ID    VM ID    VM Type    Time    Start Time    Finish Time    Waiting time
    7            10000            High      SUCCESS        2            2            High        100        0.1        100.1        0.1
    13            10000            High      SUCCESS        2            6            High        100        0.1        100.1        0.1
    19            10000            Low       SUCCESS        2            28            Low         100        0.1        100.1        0.1
    22            10000            Low       SUCCESS        2            30            Low         100        0.1        100.1        0.1
    9            20000            High      SUCCESS        2            4            High        200        0.1        200.1        0.1
    14            20000            High      SUCCESS        2            7            High        200        0.1        200.1        0.1
    20            20000            High      SUCCESS        2            10            High        200        0.1        200.1        0.1
    25            20000            High      SUCCESS        2            11            High        200        0.1        200.1        0.1
    27            10000            High      SUCCESS        2            13            High        100        100.1        200.1        0.09999999999999432
    31            10000            High      SUCCESS        2            17            High        100        100.1        200.1        0.09999999999999432
    35            10000            High      SUCCESS        2            19            High        100        100.1        200.1        0.09999999999999432
    1            20000            Low       SUCCESS        2            20            Low         200        0.1        200.1        0.1
    3            20000            Low       SUCCESS        2            21            Low         200        0.1        200.1        0.1
    4            20000            Low       SUCCESS        2            22            Low         200        0.1        200.1        0.1
    5            20000            Low       SUCCESS        2            23            Low         200        0.1        200.1        0.1
    10            20000            Low       SUCCESS        2            24            Low         200        0.1        200.1        0.1
    11            20000            Low       SUCCESS        2            25            Low         200        0.1        200.1        0.1
    17            20000            Low       SUCCESS        2            26            Low         200        0.1        200.1        0.1
    18            20000            Low       SUCCESS        2            27            Low         200        0.1        200.1        0.1
    21            20000            Low       SUCCESS        2            29            Low         200        0.1        200.1        0.1
    23            20000            Low       SUCCESS        2            31            Low         200        0.1        200.1        0.1
    24            20000            Low       SUCCESS        2            32            Low         200        0.1        200.1        0.1
    33            10000            Low       SUCCESS        2            33            Low         100        100.1        200.1        0.09999999999999432
    37            10000            Low       SUCCESS        2            35            Low         100        100.1        200.1        0.09999999999999432
    46            10000            Low       SUCCESS        2            38            Low         100        100.1        200.1        0.09999999999999432
    49            10000            High      SUCCESS        2            10            High        100        200.1        300.1        0.09999999999999432
    32            20000            High      SUCCESS        2            18            High        200        100.1        300.1        0.09999999999999432
    34            20000            Low       SUCCESS        2            34            Low         200        100.1        300.1        0.09999999999999432
    38            20000            Low       SUCCESS        2            36            Low         200        100.1        300.1        0.09999999999999432
    43            20000            Low       SUCCESS        2            37            Low         200        100.1        300.1        0.09999999999999432
    47            20000            Low       SUCCESS        2            39            Low         200        100.1        300.1        0.09999999999999432
    48            20000            Low       SUCCESS        2            40            Low         200        100.1        300.1        0.09999999999999432
    61            10000            Low       SUCCESS        2            45            Low         100        200.1        300.1        0.09999999999999432
    70            10000            Low       SUCCESS        2            47            Low         100        200.1        300.1        0.09999999999999432
    78            10000            Low       SUCCESS        2            49            Low         100        200.1        300.1        0.09999999999999432
    79            10000            Low       SUCCESS        2            50            Low         100        200.1        300.1        0.09999999999999432
    6            40000            High      SUCCESS        2            1            High        400        0.1        400.1        0.1
    41            30000            High      SUCCESS        2            6            High        300        100.1        400.1        0.09999999999999432
    30            30000            High      SUCCESS        2            16            High        300        100.1        400.1        0.09999999999999432
    50            20000            Low       SUCCESS        2            41            Low         200        200.1        400.1        0.09999999999999432
    52            20000            Low       SUCCESS        2            42            Low         200        200.1        400.1        0.09999999999999432
    53            20000            Low       SUCCESS        2            43            Low         200        200.1        400.1        0.09999999999999432
    56            20000            Low       SUCCESS        2            44            Low         200        200.1        400.1        0.09999999999999432
    67            20000            Low       SUCCESS        2            46            Low         200        200.1        400.1        0.09999999999999432
    72            20000            Low       SUCCESS        2            48            Low         200        200.1        400.1        0.09999999999999432
    80            10000            Low       SUCCESS        2            51            Low         100        300.1        400.1        0.10000000000002274
    82            10000            Low       SUCCESS        2            53            Low         100        300.1        400.1        0.10000000000002274
    86            10000            Low       SUCCESS        2            55            Low         100        300.1        400.1        0.10000000000002274
    87            10000            Low       SUCCESS        2            56            Low         100        300.1        400.1        0.10000000000002274
    89            10000            Low       SUCCESS        2            57            Low         100        300.1        400.1        0.10000000000002274
    90            10000            Low       SUCCESS        2            58            Low         100        300.1        400.1        0.10000000000002274
    93            10000            Low       SUCCESS        2            59            Low         100        300.1        400.1        0.10000000000002274
    102            10000            Low       SUCCESS        2            64            Low         100        300.1        400.1        0.10000000000002274
    26            40000            High      SUCCESS        2            12            High        400        100.1        500.1        0.09999999999999432
    40            30000            High      SUCCESS        2            13            High        300        200.1        500.1        100.1
    28            40000            High      SUCCESS        2            14            High        400        100.1        500.1        0.09999999999999432
    81            20000            Low       SUCCESS        2            52            Low         200        300.1        500.1        0.10000000000002274
    85            20000            Low       SUCCESS        2            54            Low         200        300.1        500.1        0.10000000000002274
    95            20000            Low       SUCCESS        2            60            Low         200        300.1        500.1        0.10000000000002274
